Date,Open,High,Low,Close,Volume
2019-08-13 03:00:00,105.5135,105.519,105.424,105.4695,3336
2019-08-13 04:00:00,105.468,105.512,105.416,105.4265,2143
2019-08-13 05:00:00,105.428,105.436,105.358,105.3885,2526
2019-08-13 06:00:00,105.3865,105.43,105.252,105.2905,4460
2019-08-13 07:00:00,105.292,105.357,105.128,105.1935,4696
2019-08-13 08:00:00,105.1945,105.337,105.194,105.297,3846
2019-08-13 09:00:00,105.298,105.298,105.106,105.139,4464
2019-08-13 10:00:00,105.1375,105.218,105.066,105.215,4253
2019-08-13 11:00:00,105.2165,105.254,105.12,105.211,2856
2019-08-13 12:00:00,105.212,105.39,105.154,105.208,7149
2019-08-13 13:00:00,105.209,106.671,105.192,106.5455,18147
2019-08-13 14:00:00,106.547,106.978,106.274,106.635,18924
2019-08-13 15:00:00,106.633,106.645,106.366,106.604,12099
2019-08-13 16:00:00,106.605,106.685,106.52,106.5675,7210
2019-08-13 17:00:00,106.569,106.682,106.41,106.6115,8763
2019-08-13 18:00:00,106.6105,106.686,106.579,106.682,4380
2019-08-13 19:00:00,106.683,106.712,106.615,106.6885,3849
2019-08-13 20:00:00,106.687,106.748,106.64,106.7445,2048
2019-08-13 21:00:00,106.737,106.772,106.708,106.738,484
2019-08-13 22:00:00,106.7365,106.736,106.609,106.614,1120
2019-08-13 23:00:00,106.615,106.677,106.595,106.6055,2183
2019-08-14 00:00:00,106.607,106.612,106.288,106.3235,6842
2019-08-14 01:00:00,106.3225,106.498,106.322,106.4125,5637
2019-08-14 02:00:00,106.4105,106.41,106.238,106.2895,4619
2019-08-14 03:00:00,106.291,106.376,106.282,106.363,2764
2019-08-14 04:00:00,106.364,106.626,106.343,106.5555,3496
2019-08-14 05:00:00,106.557,106.571,106.426,106.446,2412
2019-08-14 06:00:00,106.445,106.468,106.36,106.391,2950
2019-08-14 07:00:00,106.39,106.444,106.306,106.444,3998
2019-08-14 08:00:00,106.443,106.47,106.37,106.446,3700
2019-08-14 09:00:00,106.445,106.46,106.359,106.364,2509
2019-08-14 10:00:00,106.363,106.364,106.112,106.135,5574
2019-08-14 11:00:00,106.136,106.206,105.778,105.863,9590
2019-08-14 12:00:00,105.8645,106.025,105.776,106.006,11509
2019-08-14 13:00:00,106.007,106.115,105.87,106.1115,14463
2019-08-14 14:00:00,106.113,106.113,105.784,105.8085,11926
2019-08-14 15:00:00,105.8075,105.871,105.653,105.7995,8980
2019-08-14 16:00:00,105.798,105.902,105.726,105.762,6929
2019-08-14 17:00:00,105.7605,105.988,105.732,105.971,7061
2019-08-14 18:00:00,105.9695,105.982,105.84,105.8825,6129
2019-08-14 19:00:00,105.881,106.068,105.873,105.9965,9645
2019-08-14 20:00:00,105.998,106.008,105.9,105.9115,1582
2019-08-14 21:00:00,105.864,105.89,105.734,105.767,734
2019-08-14 22:00:00,105.7695,105.867,105.756,105.7965,1229
2019-08-14 23:00:00,105.795,105.936,105.795,105.916,2202
2019-08-15 00:00:00,105.917,106.031,105.846,105.961,6252
